Geneid	B032-1	B032-2	B032-4	B032-6	OM5011-1	OM5011-2	OM5011-4	OM5011-6	OM5334-1	OM5334-2	OM5334-4	OM5334-6
SLC25A4	694	1174	872	840	974	1113	1101	980	826	701	580	452
CFAP97	4202	5330	3734	4021	4429	3952	3969	4917	3086	3447	2862	3091
SNX25	447	773	542	391	505	541	597	421	649	833	606	364
LRP2BP	236	421	323	204	356	305	432	280	252	209	218	118
RP11-714G18.1	11	5	2	3	3	2	5	0	1	6	7	2
ANKRD37	1308	1546	1228	692	1440	1296	1665	926	450	472	438	364
UFSP2	2226	2556	1703	1044	1997	1914	2300	1363	1965	1989	1549	926
C4orf47	210	293	295	16	321	219	397	35	301	277	372	16
CCDC110	30	23	17	12	45	67	61	9	41	76	51	26
RP11-279O9.4	20	25	39	9	74	55	70	39	24	33	31	4
PDLIM3	4	2	5	0	4	2	1	2	5	3	1	2
SORBS2	10	3	3	5	0	0	1	0	0	0	0	0
RP11-301L8.2	0	0	0	0	0	0	0	0	0	0	0	0
RP11-626E13.1	0	0	0	0	0	0	0	0	0	0	0	0
RP11-45I20.1	0	0	0	0	0	0	0	0	0	0	0	0
RNU4-64P	0	0	0	0	0	0	0	0	0	0	0	0
TLR3	86	77	65	133	104	176	155	236	17	41	34	67
FAM149A	7	6	4	20	10	42	4	29	26	3	30	41
RP11-173M11.2	0	0	0	0	0	11	0	1	1	0	13	2
ORAOV1P1	0	0	0	0	0	0	0	0	0	0	0	1
RP11-173M11.6	0	11	0	5	12	18	12	5	37	6	19	7
CYP4V2	775	1161	920	717	1331	1097	1229	1266	1419	1441	1360	1134
KLKB1	36	39	49	10	50	34	40	49	29	96	65	33
F11	0	3	0	0	0	1	1	0	8	0	2	0
RP11-215A19.1	0	0	0	0	0	0	3	0	0	3	0	0
SLC25A5P6	8	7	0	0	6	4	3	5	6	4	4	4
RP11-215A19.2	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-1055P	0	0	0	0	0	0	0	0	0	0	0	0
MTNR1A	0	0	0	0	0	0	0	0	0	0	0	0
FAT1	0	0	0	0	0	0	0	1	0	0	0	0
RP11-11N5.1	0	0	0	0	0	0	0	0	0	0	0	0
RP11-11N5.3	0	0	0	0	0	0	0	0	0	0	0	0
MRPS36P2	0	0	0	0	0	0	0	0	0	0	0	0
RP11-217E13.1	0	0	0	0	0	0	0	0	0	0	0	0
RP11-696F12.1	0	0	0	0	0	0	0	0	0	0	0	0
RP11-308K2.1	0	0	0	0	0	0	0	0	0	0	0	0
RP11-138B4.1	0	0	0	0	0	1	6	2	0	0	0	0
RP11-91J3.2	0	0	0	0	0	0	0	0	0	0	0	0
RP11-91J3.3	0	0	0	0	0	0	0	0	0	0	0	0
RP11-91J3.1	0	0	0	0	0	0	1	0	0	0	0	0
RP11-237D3.1	0	0	0	0	0	0	0	0	0	0	0	0
RP11-565A3.2	0	0	0	0	0	0	0	0	0	0	0	0
RP11-565A3.1	0	0	0	0	0	0	0	0	0	5	0	0
RP11-629I23.1	0	0	0	0	0	0	0	0	0	0	0	0
RP11-713C19.2	5	18	9	8	9	12	10	10	6	2	4	3
ZFP42	0	0	2	0	0	1	0	0	0	0	0	0
TRIML2	0	0	0	2	0	0	1	0	0	1	0	0
RP11-713C19.1	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-173P	0	0	0	0	0	0	0	0	0	0	0	0
TRIML1	0	0	0	0	0	0	0	0	0	0	0	0
RP11-366H4.3	0	0	0	0	0	0	0	0	0	0	0	0
RP11-366H4.1	0	0	0	0	0	0	0	0	0	0	0	0
RP11-219G10.1	12	16	19	15	28	16	17	13	21	19	15	17
RP11-219G10.2	3	4	1	1	1	1	1	1	0	3	0	0
RP11-219G10.3	0	0	0	0	0	0	0	0	0	0	0	0
RP11-756P10.1	0	0	0	0	0	0	0	0	0	0	0	0
RP11-756P10.7	0	0	0	0	0	0	0	0	0	0	0	0
RNU7-192P	0	0	0	0	0	0	0	0	0	0	2	0
RP11-756P10.3	21	27	18	28	14	18	11	14	9	9	11	5
RP11-756P10.6	45	57	35	44	47	39	15	43	20	25	25	34
RP11-756P10.4	0	0	0	0	0	0	0	0	0	0	0	0
RP11-756P10.5	0	0	0	0	0	0	0	0	0	0	0	0
RP11-756P10.2	0	0	0	0	0	0	0	0	0	0	0	0
RP11-818C3.1	0	0	0	0	0	0	0	0	0	0	0	0
RP11-706F1.1	0	0	0	1	0	0	0	0	0	0	0	0
RP11-706F1.2	0	0	0	0	0	0	0	0	0	0	0	0
RP11-45F23.1	62	52	46	86	66	69	51	81	57	53	35	32
LINC01262	0	0	0	0	0	0	0	0	0	0	0	0
RP11-462G22.2	0	0	0	0	0	0	0	0	0	0	0	0
RNU1-51P	0	0	0	0	0	0	0	0	0	0	0	0
AF146191.4	13	7	15	1	3	14	12	8	22	10	9	11
LINC01596	0	0	0	0	0	0	0	0	0	0	0	2
FRG1	2323	3059	2346	2013	2499	2350	2352	2436	2995	3188	2947	2053
MLLT10P2	0	0	4	0	0	1	0	0	2	0	0	0
AF146191.8	0	0	0	0	0	0	0	0	0	0	0	0
TUBB7P	0	2	0	1	0	0	0	0	0	0	0	0
RNA5SP174	0	0	0	0	0	0	0	0	0	0	0	0
RNA5SP175	0	0	0	0	0	0	0	0	0	0	0	0
DUX4L9	0	0	0	0	0	1	0	0	0	0	2	2
FRG2	0	0	0	0	0	0	0	0	0	0	0	0
RARRES2P4	3	0	0	2	1	1	0	0	4	2	2	0
AGGF1P1	6	1	4	4	4	3	9	1	3	12	6	7
CLUHP4	0	0	0	0	0	0	0	0	0	0	0	0
DBET	0	0	0	0	0	0	0	0	0	0	0	0
DUX4L30	0	0	0	0	0	0	0	0	0	0	0	0
DUX4L8	0	0	0	0	0	0	0	0	0	0	0	0
DUX4L7	0	0	0	0	0	0	0	0	0	0	0	0
DUX4L6	0	0	0	0	0	0	0	0	0	0	0	0
DUX4L5	0	0	0	0	0	0	0	0	0	0	0	0
DUX4L4	0	0	0	0	0	0	0	0	0	0	0	0
DUX4L1	0	0	0	0	0	0	0	0	0	0	0	0
DUX4L3	0	0	0	0	0	0	0	0	0	0	0	0
DUX4L2	0	0	0	0	0	0	0	0	0	0	0	0
DUX4	0	0	0	0	0	0	0	0	0	0	0	0
RPL23AP84	0	0	0	0	0	0	0	0	0	0	0	0
ABC7-42391500H16.4	0	0	0	0	0	0	0	0	0	0	0	0
RP11-811I15.1	0	0	0	0	0	0	0	0	0	0	0	0
PLEKHG4B	2	5	5	5	0	0	0	0	0	0	0	0
LRRC14B	0	0	0	6	0	0	0	0	0	3	0	0
CTD-2083E4.7	0	0	1	4	0	0	0	0	0	0	0	0
CCDC127	1142	1602	1227	909	1091	1146	1273	1024	1831	1883	1469	899
CTD-2083E4.4	9	23	35	19	36	29	42	27	23	31	32	18
SDHA	6581	8019	6715	6144	6801	7634	7446	7433	8139	8689	6853	5519
CTD-2083E4.6	15	18	8	1	10	18	27	15	49	31	44	17
PDCD6	5474	6637	5543	5416	5774	5217	5328	6675	7914	7685	6746	5108
CTD-2083E4.5	2	3	9	4	9	4	4	2	2	17	9	6
AHRR	152	206	122	128	10	21	45	23	56	48	54	33
CTD-2228K2.2	7	3	2	2	7	2	1	4	2	5	0	0
CTD-2228K2.1	0	0	0	0	0	0	1	0	0	0	0	0
C5orf55	145	208	171	156	240	158	171	256	460	459	469	416
EXOC3	1899	2238	2263	1812	2445	2288	2635	2522	3897	3253	2738	2162
CTD-2228K2.5	2	2	4	4	4	0	8	10	2	3	8	6
SLC9A3	36	52	38	48	28	50	54	30	123	95	76	33
CTD-2228K2.7	75	150	128	59	195	183	261	50	1146	754	1216	502
RP11-310P5.2	0	0	0	0	0	0	0	0	0	0	0	0
MIR4456	0	0	0	0	0	0	0	0	0	0	0	0
RP11-310P5.1	0	0	0	0	0	0	0	0	0	0	0	0
CEP72	199	231	305	252	235	289	291	312	315	266	322	253
TPPP	147	192	143	117	76	150	99	203	73	42	63	41
CTD-2589H19.6	12	2	17	5	16	27	33	22	1	37	21	42
ZDHHC11B	18	64	68	72	143	144	150	128	98	95	93	19
CTD-2589H19.4	0	0	0	0	1	2	4	0	0	4	0	0
ZDHHC11	40	76	119	51	111	101	138	77	12	63	23	13
CTD-2198K18.1	2	2	0	3	3	8	0	1	0	0	0	1
BRD9	2201	3175	2859	2469	2473	2264	2666	2532	3073	2963	2988	2336
TRIP13	12	57	13	111	1	27	25	52	54	13	72	50
RP11-661C8.2	0	0	0	0	0	0	0	0	0	0	0	0
RP11-661C8.3	0	0	0	0	0	0	0	0	0	0	0	0
RP11-43F13.3	0	0	0	0	0	0	0	0	0	0	1	0
RP11-43F13.4	0	8	0	0	0	0	0	0	0	0	0	0
NKD2	7	1	12	5	0	0	2	2	4	0	0	4
SLC12A7	1231	1659	1484	1544	2145	2271	2382	2634	2086	2066	1928	1837
MIR4635	0	0	0	0	0	0	0	0	0	0	0	0
CTD-3080P12.3	0	0	0	0	0	0	0	0	0	0	0	0
SLC6A19	0	0	0	0	0	0	0	0	0	0	0	0
SLC6A18	0	0	0	0	0	0	0	0	1	0	0	0
TERT	1	0	9	12	5	10	14	7	27	12	23	28
MIR4457	0	0	0	0	0	0	0	0	0	0	0	0
CLPTM1L	2843	3408	2845	2675	2754	2345	2302	3406	3050	2516	2118	2110
RP11-325I22.2	0	0	5	0	0	0	3	2	4	0	0	2
RP11-325I22.1	0	0	0	0	0	0	0	0	1	0	0	0
RP11-325I22.3	95	80	71	84	94	146	121	108	276	179	207	108
SLC6A3	0	0	3	0	0	0	0	0	0	0	0	0
LPCAT1	1930	2770	2230	2016	2329	1963	1873	2418	1461	1541	1170	1218
MIR6075	0	0	1	0	0	0	0	0	0	0	0	0
CTD-2245E15.3	0	6	10	1	6	0	0	2	0	0	3	3
SDHAP3	137	179	207	99	142	141	159	86	117	90	108	64
CTD-2012J19.3	19	48	29	20	24	9	22	11	41	39	65	14
CTD-2012J19.2	2	5	1	2	1	1	4	2	4	5	1	2
RP11-43F13.1	141	175	217	126	659	695	643	782	625	399	544	367
CTD-2012J19.1	2	15	7	7	2	2	5	6	7	4	20	0
MIR4277	0	0	0	0	0	0	0	0	0	0	0	0
CTD-2587M23.1	4	2	0	0	9	6	25	6	14	7	8	7
MRPL36	2419	3008	2617	2568	2525	2093	2103	2863	2409	2752	2371	1915
NDUFS6	3944	4534	3796	4813	4237	3959	3674	5956	3874	4091	3261	3840
CTD-2194D22.1	0	0	0	0	0	0	0	0	0	0	0	0
CTD-2194D22.2	0	0	0	0	0	0	0	0	0	0	0	0
CTD-2194D22.5	0	0	0	0	0	0	0	0	0	0	0	0
IRX4	0	0	0	0	0	0	0	0	0	0	0	0
CTD-2194D22.3	0	0	0	0	0	0	0	0	0	0	0	0
CTD-2194D22.4	0	0	0	0	0	0	0	0	0	0	0	0
RP11-259O2.1	0	0	0	0	0	0	0	0	0	0	0	0
RP11-259O2.2	0	0	0	0	0	0	0	0	0	0	0	0
RP11-259O2.3	0	0	0	0	1	0	0	0	0	0	0	0
RP11-24P24.1	0	0	0	0	0	0	0	0	0	0	0	0
LSINCT5	0	0	0	0	0	0	0	0	0	1	0	0
RP11-129I19.2	0	4	0	0	0	0	0	0	0	0	0	0
IRX2	0	0	0	0	0	0	0	0	0	0	0	0
C5orf38	0	0	0	0	0	0	0	0	0	0	0	0
RP11-692C23.1	2	3	0	3	1	0	2	2	1	1	0	1
RP11-468D11.1	0	0	0	0	0	0	0	0	0	0	0	0
RP11-35O7.1	0	0	0	0	0	0	0	0	0	0	0	0
LINC01377	0	0	0	0	0	0	0	0	0	0	0	0
RP11-121L11.1	0	0	0	0	0	0	0	0	0	0	0	0
RP11-121L11.3	0	0	0	0	0	0	0	0	0	0	0	0
RP11-121L11.2	0	0	0	0	0	0	0	0	0	0	0	0
IRX1	0	0	0	0	0	0	0	0	0	0	0	0
CTD-2012M11.3	0	0	0	0	0	0	0	0	0	0	0	0
CTD-2287N17.1	0	0	0	0	0	0	0	0	0	0	0	0
CTD-2383I20.1	0	4	0	0	0	0	0	0	0	0	0	0
CTD-2008N3.1	0	0	0	0	0	0	0	0	0	0	0	0
RP11-445O3.3	0	1	0	0	0	0	0	0	1	0	0	0
RP11-445O3.2	0	0	0	0	0	0	0	0	0	0	0	0
RP11-445O3.1	0	0	0	0	0	0	0	0	0	0	0	0
CTD-2318H23.1	0	0	0	0	0	0	0	0	0	0	0	0
CTD-2161F6.3	0	1	0	0	0	0	0	1	0	0	0	0
CTD-2161F6.2	0	0	0	0	0	0	0	0	0	0	0	0
CTD-2161F6.1	0	0	0	0	0	0	0	0	0	0	0	0
CTD-2046I8.1	0	0	0	0	0	0	0	0	0	0	0	0
CTD-2247C11.2	0	0	0	0	0	0	0	0	0	0	0	0
CTD-2247C11.1	0	0	0	0	0	0	0	0	0	0	0	0
CTD-2247C11.3	0	0	0	0	0	0	0	0	0	0	0	0
CTD-2247C11.4	0	0	0	0	0	0	0	0	0	0	0	0
CTD-2247C11.5	0	0	0	0	0	0	0	0	0	0	0	0
RN7SKP73	0	0	0	0	0	0	0	0	0	0	0	0
CTD-2297D10.2	0	0	0	0	0	0	0	1	0	0	0	0
ADAMTS16	2	3	10	0	7	2	4	2	7	0	8	2
CTD-2297D10.1	0	0	0	0	0	0	0	0	0	0	0	0
RP11-531A21.5	2	0	0	0	5	6	1	0	2	2	0	0
RP11-531A21.3	0	0	0	0	0	0	5	0	0	8	2	0
RP11-531A21.4	0	0	0	0	0	0	3	0	0	0	3	0
RP11-531A21.2	0	1	3	0	1	0	0	0	2	0	3	3
ICE1	1590	1883	1733	2304	1549	1746	1644	2397	2587	2511	2300	2104
CTC-471C19.1	0	0	0	0	0	1	0	2	0	2	0	0
CTC-471C19.2	0	0	0	0	0	0	0	0	0	0	0	0
CTD-2299N12.1	0	0	0	0	0	0	0	0	0	0	0	0
RP11-73G8.1	1	0	0	0	0	1	0	0	0	0	0	0
CTD-2324F15.2	0	2	3	0	3	1	0	1	1	0	6	3
MED10	6127	7445	5895	5458	6117	5808	5789	6020	5655	6661	5556	4035
UBE2QL1	3	20	11	15	0	1	0	6	12	0	2	1
CTD-2195M18.2	0	0	0	0	0	0	0	0	0	1	0	1
CTD-2195M18.1	0	0	0	2	0	0	0	4	0	16	0	2
NSUN2	1547	2373	1977	1971	1606	1721	1843	1990	3002	3034	2540	2405
SRD5A1	305	324	201	280	316	281	291	330	257	227	265	147
CTD-2044J15.1	1	2	0	0	0	0	0	0	0	0	2	4
PAPD7	929	1543	1197	892	1191	1209	1269	762	1686	1376	1642	886
RP11-332J15.3	1	0	0	0	0	0	0	0	0	0	0	0
RP11-332J15.4	0	0	0	0	0	0	0	0	0	0	0	0
RP11-332J15.1	0	0	0	0	0	0	0	0	0	0	0	0
MIR4278	0	0	0	0	0	0	0	0	1	0	0	0
RN7SKP79	0	3	0	1	0	2	0	0	1	1	0	0
RP11-332J15.2	0	0	0	0	0	0	0	0	0	0	0	0
RP11-122F24.1	0	0	0	0	0	0	0	0	0	0	0	0
RNA5SP176	0	0	0	0	0	0	0	0	0	0	0	0
RP11-404K5.3	0	0	0	0	0	0	0	0	0	0	0	0
RP11-404K5.1	1	0	0	2	0	0	0	0	0	1	2	2
RP11-404K5.2	0	1	0	0	0	0	0	1	0	0	0	0
RP11-404K5.4	0	0	0	0	0	0	0	0	0	0	0	0
CTD-2296D1.1	0	0	0	0	0	0	0	0	0	0	0	0
CTD-2296D1.2	0	0	0	0	0	0	0	0	0	0	0	0
CTD-2296D1.3	0	0	0	0	0	0	0	0	0	0	0	0
CTD-2296D1.4	0	0	0	0	0	0	0	0	0	0	0	0
CTD-2296D1.5	0	2	0	0	0	0	0	0	0	0	0	0
ADCY2	1	1	1	0	1	2	1	1	0	0	0	0
RP11-711G10.1	0	0	0	0	0	0	0	0	0	0	0	0
C5orf49	0	0	0	0	7	0	0	0	5	0	0	0
MTRR	1335	1712	1323	1386	1276	1123	1506	1277	1138	1342	1127	829
FASTKD3	379	568	431	354	479	456	348	481	576	742	590	353
CTD-2072I24.1	3	1	2	0	4	2	0	7	0	0	0	0
RNU1-76P	0	0	0	0	0	0	0	0	0	0	0	0
RP11-334G8.1	0	0	0	0	0	0	0	0	0	0	0	0
RP11-215I16.2	0	0	0	0	0	0	0	0	0	0	0	0
RP11-215I16.1	0	0	0	0	0	0	0	0	0	0	0	0
RP11-480D4.1	0	1	0	0	0	0	0	0	0	0	0	0
RP11-480D4.2	27	30	26	28	7	24	13	20	33	41	33	27
RP11-480D4.5	0	0	0	0	0	0	0	0	2	0	0	0
RP11-480D4.6	5	27	15	17	25	9	21	21	27	19	31	11
RP11-480D4.3	657	1072	689	499	706	683	804	625	682	711	690	365
RP11-480D4.4	1	0	0	0	0	0	0	0	0	0	0	0
RP11-480D4.7	0	0	0	0	0	0	4	0	0	0	0	0
MIR4458	0	0	0	0	0	0	0	0	0	0	0	0
RP11-417J1.1	0	0	0	0	0	0	0	0	0	0	0	0
RP11-417J1.5	0	0	0	0	0	0	0	0	0	0	0	0
RP11-417J1.6	0	0	0	0	0	0	0	0	0	0	0	0
RP11-417J1.2	0	0	0	0	0	0	0	0	0	0	0	0
RP11-417J1.3	1	5	5	3	4	2	2	3	0	0	0	0
RP11-417J1.7	0	0	0	0	0	0	0	0	0	0	0	0
RP11-417J1.8	0	0	0	0	0	0	0	0	0	0	0	0
RP11-417J1.4	0	0	0	0	0	0	0	0	0	0	0	0
RP11-315A16.2	0	0	0	0	0	0	0	0	0	0	0	0
RP11-315A16.3	0	0	0	0	0	0	0	0	0	0	0	0
RP11-315A16.1	0	0	0	0	0	0	0	0	0	1	0	0
RP11-315A16.4	0	0	0	0	0	0	0	0	0	0	0	0
RP11-143A12.3	0	0	0	0	0	1	0	0	0	2	0	0
RP11-143A12.1	0	0	0	0	0	0	0	0	0	0	0	0
CTD-2215L10.1	0	0	0	0	0	0	0	0	0	0	0	0
SEMA5A	67	45	19	144	17	14	11	50	7	0	20	35
MIR4636	0	0	0	0	0	0	0	0	0	0	0	0
CTD-2201E9.4	0	0	0	0	0	0	0	0	0	0	0	0
CTD-2201E9.3	0	0	0	0	0	0	0	0	0	0	0	0
CTD-2201E9.1	0	0	0	0	0	0	1	0	0	0	0	0
CTD-2201E9.2	0	0	0	0	0	0	0	0	0	0	0	0
CTD-2001E22.2	90	79	81	34	28	27	55	24	58	63	46	33
SNORD123	0	0	1	0	1	2	0	1	0	0	0	0
CTD-2001E22.1	0	0	0	0	0	0	0	0	0	0	0	1
TAS2R1	0	0	0	0	0	0	0	0	0	0	0	0
CTD-2143L24.1	0	0	0	0	0	0	0	0	0	0	0	0
RNA5SP177	0	0	0	0	0	0	0	0	0	0	0	0
RP11-447B18.1	0	0	0	0	0	0	0	0	0	0	0	0
RP11-191F9.4	0	0	0	0	0	0	0	0	0	0	0	0
RP11-191F9.2	0	0	0	0	0	0	0	0	0	0	0	0
RP11-191F9.3	0	0	0	0	0	0	0	0	0	0	0	0
RP11-191F9.1	0	0	0	0	0	4	0	0	0	0	0	0
CTD-2199O4.1	0	4	0	0	0	0	3	3	0	0	0	0
CTD-2199O4.4	0	0	0	0	0	0	0	0	0	0	0	0
CTD-2199O4.5	0	0	0	0	0	0	2	0	0	0	0	0
CTD-2199O4.3	0	0	0	0	0	0	0	0	0	0	0	1
CTD-2199O4.7	0	0	0	0	0	0	0	0	0	0	0	0
CTD-2199O4.6	5	19	2	0	10	6	10	7	6	0	7	4
FAM173B	184	261	97	127	214	158	293	257	225	146	188	116
CTD-2256P15.1	0	13	0	0	0	0	0	0	0	0	0	0
CCT5	2617	3225	2503	3691	2555	2620	2536	4389	4190	3870	2864	3902
CTD-2256P15.4	4	1	1	1	0	0	0	0	7	3	1	0
CTD-2256P15.5	0	0	0	0	0	0	0	0	0	0	8	0
CMBL	35	72	34	5	11	5	4	7	2	0	3	6
CTD-2256P15.3	0	1	1	2	1	0	2	1	0	0	2	1
CTD-2256P15.2	33	34	17	26	80	52	66	64	135	179	63	45
MARCH6	3618	5342	4687	3252	5157	4668	5377	4049	6360	5260	5604	3505
RP11-1C1.3	0	0	1	0	4	0	0	0	0	0	2	0
ROPN1L	79	45	44	14	74	52	40	46	87	19	12	12
MIR6131	0	0	0	0	0	0	0	0	0	0	0	0
RP11-1C1.7	1	2	2	0	4	2	0	0	7	2	0	0
RP11-1C1.1	33	24	33	22	96	57	38	62	69	44	62	35
RP11-1C1.6	0	0	0	0	0	0	0	0	0	0	0	0
RP11-1C1.4	0	0	0	0	2	0	0	0	0	1	0	0
RP11-1C1.5	0	0	0	0	0	0	0	0	0	0	0	0
RP11-54F2.9	0	0	0	0	0	0	0	0	0	0	0	0
RP11-54F2.8	0	0	0	0	0	0	0	0	0	0	0	0
ANKRD33B	161	237	187	321	82	143	69	153	73	82	58	94
RP11-215G15.3	1	1	0	0	0	0	0	0	0	0	0	0
RP11-54F2.1	0	0	0	0	0	0	0	0	0	0	0	0
RP11-215G15.4	4	1	2	0	0	0	4	0	0	0	0	0
CTD-2154B17.3	0	0	0	0	0	0	0	0	0	0	2	0
CTD-2154B17.2	3	2	0	0	0	0	6	0	5	0	0	0
DAP	3811	4537	3304	3120	3095	2520	2694	3364	3114	3930	2625	2524
CTD-2154B17.4	0	5	0	0	0	0	0	0	0	0	2	2
CTD-2154B17.1	0	0	0	0	0	0	0	0	0	0	0	0
CTNND2	10	6	0	1	0	3	2	2	7	1	9	5
RNU6-429P	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-679P	0	0	0	0	0	0	0	0	0	0	0	0
RP11-308B16.2	0	0	0	0	0	0	0	1	0	0	0	0
RP11-308B16.1	0	0	0	0	0	0	0	0	0	0	0	0
RP11-419C19.3	0	0	0	0	0	0	0	0	0	0	0	0
RP11-419C19.1	0	0	0	0	0	0	0	0	0	0	0	0
RP11-419C19.2	0	0	0	0	0	0	0	0	0	0	0	0
CTC-305H11.1	0	0	0	0	0	0	0	0	0	0	0	0
RP11-269G2.1	0	0	0	0	0	0	0	0	0	0	1	0
CTD-2042D5.1	0	0	0	0	0	0	0	0	0	1	0	0
CTC-232H10.1	15	22	9	22	24	13	21	27	29	7	15	8
DNAH5	0	4	0	0	0	0	0	0	0	0	0	0
CTB-51A17.1	0	0	1	0	1	0	0	0	0	1	0	0
TRIO	210	294	240	139	225	170	157	147	168	151	90	92
FAM105A	1560	2001	1437	1346	2339	2506	2366	2190	2030	2703	1742	1046
CTD-2165H16.3	18	31	34	10	34	51	76	14	68	47	33	21
CTD-2165H16.2	10	8	12	10	7	5	4	9	15	15	13	7
CTD-2165H16.1	171	177	144	123	257	157	179	231	317	264	204	124
CTD-2165H16.4	22	47	23	5	25	23	15	11	32	21	19	23
OTULIN	1682	2280	1776	1724	1641	1742	1952	2092	1571	1417	1379	1086
ANKH	2653	3710	2625	1929	3610	2975	3436	3063	5145	4994	4161	2261
CTD-2197O4.1	16	26	24	8	17	19	22	9	25	17	12	4
MIR4637	0	0	3	0	0	0	2	0	0	0	4	0
CTB-40H15.4	3	0	0	0	0	4	4	3	4	3	7	0
CTB-40H15.3	0	0	0	0	3	0	0	0	0	0	2	0
CTB-40H15.2	0	3	6	0	6	8	11	8	25	11	11	0
CTB-40H15.1	2	0	2	0	0	0	0	0	0	1	0	1
RP1-251I12.1	0	0	0	0	0	0	0	0	0	0	0	0
RP1-137K24.1	0	0	0	0	0	0	0	0	0	0	0	1
RP11-275B7.1	0	0	0	0	0	0	0	0	0	0	0	0
CTD-2313D3.1	9	3	3	9	4	5	8	9	8	2	4	3
FBXL7	0	0	0	0	0	0	2	1	0	0	0	0
CTD-2350J17.1	0	0	0	0	0	0	0	0	0	0	0	0
MIR887	0	0	0	0	0	0	0	0	0	0	0	0
RNA5SP178	0	0	0	0	0	0	0	0	0	0	0	0
MARCH11	0	0	0	0	0	0	0	0	0	0	0	0
RP11-19O2.1	0	0	0	0	0	0	0	0	0	0	0	0
RP11-19O2.2	0	0	0	0	0	0	0	0	0	0	0	0
RP11-19O2.4	0	0	0	0	0	0	0	0	0	0	0	0
RP1-167G20.1	1	7	0	1	2	4	0	4	2	9	5	2
RP1-167G20.2	0	0	0	0	0	2	0	0	0	0	0	0
ZNF622	3401	4311	3106	2730	3231	3370	3308	3480	4623	5440	4293	3303
FAM134B	2422	2928	2206	2182	3525	2877	3285	3033	6005	6609	5668	3381
RP11-260E18.1	8	18	25	14	43	15	49	31	80	75	70	27
CTC-461F20.1	2	5	3	5	8	1	20	5	13	11	14	3
MYO10	12	23	12	13	11	23	17	18	18	21	43	12
RNA5SP179	0	0	0	0	0	0	0	0	0	0	0	0
CTB-55B8.1	13	20	12	12	18	9	11	15	18	15	25	7
RNU6-660P	0	0	0	0	0	0	0	0	0	0	0	0
BASP1	569	560	509	530	126	200	104	343	105	111	48	251
CTD-2228A4.1	0	0	0	0	0	0	0	0	0	0	1	0
AC091878.1	0	0	0	0	0	0	0	0	0	0	0	0
RNA5SP180	0	0	0	0	0	0	0	0	0	0	0	0
CTD-3065A13.1	0	0	0	0	0	1	0	1	0	2	0	0
RNU6-1003P	0	0	0	0	0	0	0	0	0	0	0	0
CTD-2139B15.1	4	8	4	4	11	11	9	3	9	5	1	4
RN7SKP133	0	0	0	1	0	1	0	2	0	0	2	0
FTHL10	25	42	21	32	30	16	18	32	13	34	21	18
CTD-2139B15.2	0	0	0	0	0	0	0	0	0	0	0	0
CTD-2139B15.5	0	0	0	0	0	0	0	0	0	0	0	0
CTD-2139B15.4	0	0	0	0	0	0	0	0	0	0	0	0
RP11-321E2.3	0	0	0	0	3	0	0	1	0	0	0	0
RP11-321E2.4	0	0	0	0	0	0	0	0	1	0	0	0
RP11-321E2.5	0	0	0	0	0	0	0	0	0	0	0	0
RP11-321E2.13	0	0	0	0	0	0	0	0	0	0	0	0
RP11-321E2.12	0	0	0	0	0	0	0	0	0	0	0	0
RP11-321E2.6	0	0	0	0	0	0	0	0	0	0	0	0
RP11-321E2.11	0	0	0	0	0	0	0	0	0	0	0	0
RP11-321E2.10	0	0	0	0	0	0	0	0	0	0	0	0
RP11-321E2.2	0	0	0	0	0	0	0	0	0	0	0	0
RP11-321E2.7	0	0	0	0	0	0	0	0	0	0	0	0
RP11-321E2.8	0	0	0	0	0	0	0	0	0	0	0	0
RP11-321E2.9	0	0	0	0	0	0	0	0	0	0	0	0
RP11-432M8.2	0	0	0	0	0	0	0	0	0	0	0	0
RP11-432M8.1	0	0	0	0	0	0	0	0	0	0	0	0
RP11-432M8.3	0	0	0	0	0	0	0	0	0	0	0	0
RP11-432M8.4	0	0	0	0	0	0	0	0	0	0	0	0
RP11-432M8.5	0	0	0	0	0	0	0	0	0	0	0	0
RP11-432M8.7	0	0	0	0	0	0	0	0	0	0	0	0
RP11-432M8.6	0	0	0	0	0	0	0	0	0	0	0	0
RP11-432M8.22	0	0	0	0	0	0	0	0	0	0	0	0
RP11-432M8.9	0	0	0	0	0	0	0	0	0	0	0	0
RP11-432M8.20	0	0	0	0	0	0	0	0	0	0	0	0
RP11-432M8.10	0	0	0	0	0	0	0	0	0	0	0	0
RP11-432M8.11	0	0	0	0	0	0	0	0	0	0	0	0
RP11-432M8.12	0	0	0	0	0	0	0	0	0	0	0	0
RP11-432M8.13	0	0	0	0	0	0	0	0	0	0	0	0
RP11-432M8.15	0	0	0	0	0	0	0	0	0	0	0	0
RP11-432M8.14	0	0	0	0	0	0	0	0	0	0	0	0
RP11-432M8.16	0	0	0	0	0	0	0	0	0	0	0	0
RP11-432M8.18	0	0	0	0	0	0	0	0	0	0	0	0
RP11-432M8.17	0	0	0	0	0	0	0	0	0	0	0	0
RP11-432M8.21	0	0	0	0	0	0	0	0	0	0	0	0
RP11-432M8.19	0	0	0	0	0	0	0	0	0	0	0	0
